date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:09	569/569	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2002%20Aug%202024%2012:21:09%20GMT	http://obf.edu.pl/	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/index.html	(from )
14:21:09	199/199	---MCZ	200	added ('OK')	text/plain	date:Fri,%2002%20Aug%202024%2012:21:09%20GMT	http://obf.edu.pl/robots.txt		(from )
14:21:11	68190/68190	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202024%2012:21:09%20GMT	http://obf.edu.pl/en/	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/en/index.html	(from http://obf.edu.pl/)
14:21:11	26320/26320	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20May%202021%2011:12:39%20GMT	http://obf.edu.pl/wp-content/themes/twentyten/style.css?ver=20190507	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/wp-content/themes/twentyten/style8d89.css	(from http://obf.edu.pl/en/)
14:21:12	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2002%20Aug%202024%2012:21:11%20GMT	http://obf.edu.pl/xmlrpc.php	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/xmlrpc.php	(from http://obf.edu.pl/en/)
14:21:12	58171/58171	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2012:46:10%20GMT	http://obf.edu.pl/wp-includes/css/dist/block-library/style.min.css?ver=5.7.12	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/wp-includes/css/dist/block-library/style.min9a72.css	(from http://obf.edu.pl/en/)
14:21:13	2714/2714	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2012:46:10%20GMT	http://obf.edu.pl/wp-includes/css/dist/block-library/theme.min.css?ver=5.7.12	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/wp-includes/css/dist/block-library/theme.min9a72.css	(from http://obf.edu.pl/en/)
14:21:13	11256/11256	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2012:46:09%20GMT	http://obf.edu.pl/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.16	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/wp-includes/js/mediaelement/mediaelementplayer-legacy.min08e1.css	(from http://obf.edu.pl/en/)
14:21:13	4186/4186	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Feb%202020%2019:54:54%20GMT	http://obf.edu.pl/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=5.7.12	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/wp-includes/js/mediaelement/wp-mediaelement.min9a72.css	(from http://obf.edu.pl/en/)
14:21:13	4956/4956	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20May%202021%2011:12:39%20GMT	http://obf.edu.pl/wp-content/themes/twentyten/blocks.css?ver=20181218	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/wp-content/themes/twentyten/blocksc86b.css	(from http://obf.edu.pl/en/)
14:21:14	87054/87054	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20May%202023%2023:23:14%20GMT	http://obf.edu.pl/wp-content/plugins/jetpack/css/jetpack.css?ver=10.4.1	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/wp-content/plugins/jetpack/css/jetpack6c3b.css	(from http://obf.edu.pl/en/)
14:21:14	774/774	---MCZ	200	added ('OK')	text/xml	date:Fri,%2002%20Aug%202024%2012:21:13%20GMT	http://obf.edu.pl/xmlrpc.php?rsd	C:/Users/w.rorot/OneDrive/Studia/OBF/strona/obf.edu.pl/obf.edu.pl/xmlrpc0db0.php	(from http://obf.edu.pl/en/)
